,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,dry eyes,dry mouth,thc_scaled,strain_type,rating (scaled),Rating,NumReviews,Strain_description,THC,sweet_S,strawberry_S,earthy_S,blue cheese_S,sage_S,honey_S,rose_S,tree fruit_S,violet_S,coffee_S,pear_S,spicy/herbal_S,tropical_S,pungent_S,tea_S,apricot_S,mint_S,pepper_S,flowery_S,ammonia_S,blueberry_S,berry_S,chemical_S,pine_S,woody_S,lime_S,plum_S,nutty_S,citrus_S,orange_S,mango_S,diesel_S,lemon_S,pineapple_S,apple_S,grape_S,menthol_S,chestnut_S,skunk_S,grapefruit_S,peach_S,butter_S,lavender_S,tar_S,tobacco_S,vanilla_S,focused_S,inflammation_S,dizzy_S,energetic_S,lack of appetite_S,happy_S,creative_S,muscle spasms_S,sleepy_S,stress_S,tingly_S,aroused_S,anxious_S,nausea_S,fatigue_S,cramps_S,uplifted_S,headache_S,talkative_S,paranoid_S,hungry_S,giggle_S,depression_S,relaxed_S,pain_S,seizures_S,euphoric_S,spasticity_S,eye pressure_S,headaches_S,insomnia_S,dry eyes_S,dry mouth_S
986,JGR,1,0,0.72,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556216375,0.738809477,,,0.52460078,1,,,0.446212534,,,,0.452641494,0.413940054,,0.435455041,,,0.996123919,1,0.795477993,,0.575428983,,,,0.70022771,0.616043597,1,,indica,0.884831461,4.539325843,269,"Named after the dark alcoholic beverage from Germany, JGR is an indica-dominant strain with a tinge of black licorice in its aroma. Little is known about its genetics, but rumor has placed JGR somewhere in the Hindu Kush genealogy or a cross of LA Confidential and Blue Dream. Some also suspect it was bred and popularized in Southern Oregon. As stupefying as its name makes it out to be, JGR's full body effects are better described as relaxing than sedating.",,,,0.001666667,,,,,,,,,0.001666667,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000927027,0.001231349,,,0.000874335,0.001666667,,,0.000743688,,,,0.000754402,0.0006899,,0.000725758,,,0.001660207,0.001666667,0.001325797,,0.000959048,,,,0.001167046,0.001026739,0.001666667
987,Jack 47,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,0.046875,,0.966183575,0.0703125,1,,,,,,,,,0.046875,,,,0.549114332,,,,0.0703125,0.671497585,1,,0.784219002,,,,,1,0.676767677,0.705882353,hybrid,0.925925926,4.703703704,28,"Jack 47 combines two of the most sought-after varieties of cannabis: Jack Herer and AK-47. This super hybrid, bred by Sweet Seeds, is mostly sativa and carries the sweet, captivating aroma of Jack Herer. Growers will appreciate the vigorous growth and large colas this strain produces. While connoisseurs are drawn in by the smooth earthy flavor of sugary lemons, patients enjoy Jack 47's immediate relief from stress and muscle pains.",22,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,0.000906618,,,,,,,,,,,,,,,4.25E-05,,0.00087596,6.37E-05,0.000906618,,,,,,,,,4.25E-05,,,,0.000497837,,,,6.37E-05,0.000608792,0.000906618,,0.000710987,,,,,0.000906618,0.00061357
988,Jack Diesel,3,0,0.3,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,0.5,0.956850054,0.303232999,1,0.951456311,,,0.966555184,,,,,0.314381271,,0.96763754,0.2,,0.1,,0.924487594,1,,0.303232999,,,,,,,0.3,1,0.656862745,sativa,0.811403509,4.245614035,57,"Jack Diesel crosses two mainstays in the cannabis world, Jack Herer and NYC Diesel, to produce a pungent mix of floral and diesel aromas. Its woody flavors are intertwined with sweet hints of fruit that bring on potent, long-lasting sativa effects. The uplifting sativa buzz is reminiscent of Haze varieties, generating immediate relaxation followed by an energetic rush that stimulates creativity along with your appetite.",20.5,,,0.00234192,,,,,,,,,,,,,,,,,,,,,,0.00234192,,,,,,,0.00234192,,,,,,,,,,,,,,,,,0.00117096,0.002240867,0.000710148,0.00234192,0.002228235,,,0.002263595,,,,,0.000736256,,0.00226613,0.000468384,,0.000234192,,0.002165076,0.00234192,,0.000710148,,,,,,,0.000702576,0.00234192
989,Jack Flash,0,0,0.5,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,0.824163732,0.93772007,0.327061428,,1,,,0.956410256,,0.482567792,,0.874559859,0.063461538,,0.757692308,,,0.73381295,,0.537354732,,0.69256162,,,,,0.890384615,1,0.583333333,hybrid,0.809187279,4.236749117,285,"To create Jack Flash, Sensi Seeds started out with their Jack Herer's gene pool and then crossed it with Super Skunk and Haze. Jack Flash offers an earthy citrus aroma, impressive yields, and the active cerebral legacy of her Jack Herer parent. This hybrid gets its name from its lightning-fast onset which may prove useful to patients needing immediate symptom relief.",18.25,0.000906618,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,0.000906618,,,,,0.000747202,0.000850154,0.00029652,,0.000906618,,,0.000867099,,0.000437505,,0.000792892,5.75E-05,,0.000686938,,,0.000665288,,0.000487176,,0.000627889,,,,,0.000807239,0.000906618
990,Jack Frost,0,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,0.424015743,,0.399588973,0.941096067,0.744526112,,,1,,,,0.357161207,0.78806398,,0.748029228,0.048358059,,0.288013063,,,0.776787767,0.828974855,,,1,,,,,0.631334347,1,0.526143791,hybrid,0.848501071,4.394004283,477,"Bred by Goldenseed, Jack Frost was developed over 5 years of persistence in order to improve on the potency and aroma of this strain. Initially with a lineage of Jack Herer, White Widow, and Northern Lights #5, these strains were bred before then introducing Rainbow Kashmiri (now it its third year of exclusive inbreeding). THC content in this strain has been measured up to 22.6%.",16.5,,,0.000906618,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,0.00038442,,0.000362275,0.000853215,0.000675001,,,0.000906618,,,,0.000323809,0.000714473,,0.000678177,4.38E-05,,0.000261118,,,0.00070425,0.000751564,,,0.000906618,,,,,0.000572379,0.000906618
991,Jack Haze,3,0,0.5,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.963815789,,0.615384615,,,1,0.970394737,,,1,,,0.307692308,,0.97972973,,,,,0.538461538,,0.970394737,1,0.947368421,0.027027027,,,,,0.016891892,,0.538461538,1,0.509803922,hybrid,0.777173913,4.108695652,48,"A cross between Jack Herer and Super Silver Haze, this is one giggly hybrid. Sativa-dominant, Jack Haze provides patients with an intense psychoactive sensation. Like drinking a strong cup of coffee, this strain's energizing and uplifting effects make it great for daytime use. Patients who suffer from depression or stress tend to really enjoy this strain. Jack Haze is quite potent, so it should be used with caution by novice patients.",16,,,0.000906618,,,,,,,,,,,0.000906618,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,0.000873813,,0.000557919,,,0.000906618,0.000879778,,,0.000906618,,,0.000278959,,0.000888241,,,,,0.000488179,,0.000879778,0.000906618,0.000858902,2.45E-05,,,,,1.53E-05,,0.000488179,0.000906618
992,Jack Herer,3,1,0.45,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.753264782,,0.24716894,0.880611658,0.306599774,1,,,,1,,,0.429719947,,0.51866154,,0.867393628,,,0.331294519,,,0.895247291,,0.645253685,,0.75895141,,,,,0.693768287,1,0.624183007,hybrid,0.850474684,4.401898734,3852,"Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both the cerebral elevation associated with sativas and the heavy resin production of indicas. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative.Jack Herer was created in the Netherlands in the mid-1990s, where it was later distributed by Dutch pharmacies as a recognized medical-grade strain. Since then, the spicy, pine-scented sativa has taken home numerous awards for its quality and potency. Many breeders have attempted to cultivate this staple strain themselves in sunny or Mediterranean climates, and indoor growers should wait 50 to 70 days for Jack Herer to flower.",19.5,,,0.000906618,,,,,,,,,,,,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,,,,,,,,,0.000682924,,0.000224088,0.000798379,0.000277969,0.000906618,,,,0.000906618,,,0.000389592,,0.000470228,,0.000786395,,,0.000300358,,,0.000811648,,0.000584999,,0.000688079,,,,,0.000628983,0.000906618
993,Jack Kush,0,0,0.5,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.2,0.961111111,0.943820225,1,0.955555556,0.943820225,,1,,,0.1,,,,0.961111111,0.1,,,,,0.971910112,,0.966292135,,0.994444444,,,,,1,0.9,0.607843137,hybrid,0.771428571,4.085714286,35,,19,0.000906618,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,0.000181324,0.000871361,0.000855685,0.000906618,0.000866324,0.000855685,,0.000906618,,,9.07E-05,,,,0.000871361,9.07E-05,,,,,0.000881152,,0.000876058,,0.000901582,,,,,0.000906618,0.000815956
994,Jack Skellington,0,0,0.3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,0.334475668,0.943521595,,1,,,,1,,,0.833447567,0.52360515,0.896995708,,0.935548173,0.301576422,0.989368771,0.615490062,,,0.974248927,,,,0.890365449,,,,0.497854077,,1,0.591503268,sativa,0.897959184,4.591836735,100,"Jack Skellington by TGA Genetics is a 70% sativa cross between Killer Queen and Jack the Ripper. TGA sought out the most resin-heavy phenotypes of each parent for an ideal, crystal-coated offspring. With a fruity citrus and diesel aroma, Jack Skellington promises an intensely psychoactive experience that brings creativity and introspection to a new level. Jack Skellington flowers in 8 weeks indoors and thrives in sea of green (SOG) setups.",18.5,,,0.00234192,,,,,,,,,,,,,,,,,,,,,,,,,,0.00234192,,,0.00234192,,,,,,,,,,,,,,,,,0.000783315,0.002209652,,0.00234192,,,,0.00234192,,,0.001951868,0.001226242,0.002100693,,0.002190979,0.000706268,0.002317023,0.001441429,,,0.002281613,,,,0.002085165,,,,0.001165935,,0.00234192
995,Jack Smack,3,0,0.35,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.8,0.857142857,1,0.45,,,1,,,0.454545455,,0.142857143,,,,,,,,0.285714286,,,,0.35,,,0.142857143,,0.454545455,1,,sativa,1,5,7,"Jack Smack by Ustad Seeds is an astonishingly powerful sativa. Known for its mind-warping rush of euphoria and heart-racing stimulation, Jack Smack is pure rocket fuel. Mind your dosage as this strain can easily overstimulate even the most seasoned consumer. Jack Smack is a cross of Jack Herer and Herijuana and exhibits a strong fuel aroma native to both parent strains. Enjoy this strain to combat lethargy and depression.",,,,0.00234192,,,,,,,,,0.00234192,,,,,,,,,0.00234192,,,,,,,,,,,,,,,,,,,,,,,,,,0.00117096,,,0.001873536,0.00200736,0.00234192,0.001053864,,,0.00234192,,,0.001064509,,0.00033456,,,,,,,,0.00066912,,,,0.000819672,,,0.00033456,,0.001064509,0.00234192
996,Jack Widow,2,0,0.395,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.105263158,,,0.195402299,,,0.988505747,1,,,,0.421052632,,,0.172413793,,,0.052631579,,,0.368421053,1,0.736842105,,0.16091954,,,,0.368421053,0.736842105,1,0.607843137,hybrid,0.807142857,4.228571429,37,"As the name suggests, this sativa-dominant hybrid is a cross between two infamous, award-winning strains: White Widow and Jack Herer. The plant lives up to its lineage, with high THC content and stable, long-lasting sativa effects. Its growing difficulty is easy to moderate. As a plant, Jack Widow is compact, resistant, and high yielding. Flowering times are quick, between 6 and 7 weeks.",19,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,9.54E-05,,,0.000177155,,,0.000896197,0.000906618,,,,0.000381734,,,0.000156314,,,4.77E-05,,,0.000334017,0.000906618,0.000668035,,0.000145893,,,,0.000334017,0.000668035,0.000906618
997,Jack Wreck,0,0,0.34,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.008403361,1,0.090804598,0.168391345,,,,,,,,,,0.074712644,0.358419567,,,0.156062425,,0.176857949,0.131034483,0.168391345,0.13908046,,,,1,,,1,0.284513806,,sativa,0.883928571,4.535714286,29,"Jack Wreck is a potent sativa strain that combines two timeless classics, Jack Herer and Trainwreck. While Trainwreck's influence is evident in Jack Wreck's sweet citrus aroma, don't expect the mellow, dreamy buzz associated with Jack Herer: Trainwreck genetics give Jack Wreck an intense kick of cerebral psychoactivity. The racy jolt of energy provided by this sativa hybrid may be too intense for some consumers, but those needing high THC levels can trust Jack Wreck for potent daytime enjoyment.",,,,0.00234192,,,,,,,,,,,,,,,,,0.00234192,,,,,,,,,0.00234192,,,,,,,,,,,,,,,,,,,,1.97E-05,0.00234192,0.000212657,0.000394359,,,,,,,,,,0.000174971,0.00083939,,,0.000365486,,0.000414187,0.000306872,0.000394359,0.000325715,,,,0.00234192,,,0.00234192,0.000666309
998,Jack the Ripper,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,0.770302986,,1,0.752060255,,,1,,,0.219806181,0.300699776,0.310177322,,0.647103416,0.12410202,,0.42230365,,,0.704565528,,0.449758815,,0.694837747,,,,,0.350513476,1,0.411764706,sativa,0.814070352,4.256281407,406,"Jack the Ripper, or JTR, is the flagship hybrid from TGA Genetics and was created by the breeder Subcool in an attempt make his famous Jack's Cleaner in seed form. Described by many as the fastest lemon Haze available to date, it was created by crossing the Jack's Cleaner clone with a vigorous Space Queen male known as Space Dude. Featuring incredibly resinous triangle-shaped buds and an intense spicy, lemon-pine aroma, Jack the Ripper is a relatively short 70% sativa-dominant strain that usually tests over 20% THC. The effect is intense, visually stimulating, and can sometimes leave novice consumers disoriented and paranoid.",13,,,,,,,,,,,,,,,,,,,,,,,,0.00234192,,,,,0.00234192,,,,0.00234192,,,,,,,,,,,,,,,,,0.001803988,,0.00234192,0.001761265,,,0.00234192,,,0.000514769,0.000704215,0.000726411,,0.001515465,0.000290637,,0.000989002,,,0.001650036,,0.001053299,,0.001627255,,,,,0.000820875,0.00234192
999,Jack's Cleaner,3,0,0.2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,0.741935484,,0.024242424,1,,0.756823821,,1,,0.955882353,,0.622828784,0.048484848,,0.37745098,,,,,0.060606061,,,0.387254902,,,,0.640198511,,,,0.769607843,1,0.527272727,0.31372549,sativa,0.809210526,4.236842105,77,"Bred by TGA Subcool, this sativa-dominant hybrid is a cross between Jack Herer and The Cleaner, a strain with roots from Pluton, Lamb's Bread, Purple Haze, and Northern Lights. Its overpowering lemon pungency and strong yellow appearance can be attributed to its Cleaner genetics. This plant flowers in 6 to 8 weeks, returning high yields with impressive potency. Although the strain initially induces sativa effects, the high potency makes this hybrid appropriate for day and night time use.",10,,,0.00234192,,,,,,,,,,,,,,,,,,,,,,,0.00234192,,,,,,,0.00234192,,,,,,,,,,,,,,0.001737554,,5.68E-05,0.00234192,,0.001772421,,0.00234192,,0.0022386,,0.001458615,0.000113548,,0.00088396,,,,,0.000141935,,,0.00090692,,,,0.001499294,,,,0.00180236,0.00234192,0.001234831
1000,Jack's Dream,2,0,0.47,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,0.04,1,,0.538461538,,,,0.962962963,,,0.98,,1,0.925925926,0.548076923,,0.528846154,1,,,1,,0.962962963,,,,,,,0.02,0.1,,hybrid,0.825,4.3,20,"Jack's Dream is a stimulating hybrid with familiar flavors and gentle effects. This common sense cross of Jack Herer and Blue Dream offers the consumer an immediate rush of energy that crests into heady euphoria that encourages laughter. The smell and taste have been described as a sweet Trainwreck, exhibiting hints of skunk, pine, and a latent berry sweetness that glides over the tastebuds. Enjoy Jack's Dream throughout the day to improve mood and stimulate creativity.",,,,,,,,,,,,,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,0.000906618,,3.63E-05,0.000906618,,0.000488179,,,,0.00087304,,,0.000888486,,0.000906618,0.000839461,0.000496897,,0.000479462,0.000906618,,,0.000906618,,0.00087304,,,,,,,1.81E-05,9.07E-05
1001,Jackalope,0,0,0.33,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0.714285714,,1,,,,0.833333333,,,,,0.5,,0.571428571,0.25,0.714285714,0.5,,,1,,,,0.714285714,,,0.5,0.333333333,0.5,0.75,,sativa,0.795454545,4.181818182,11,"Jackalope is a mostly sativa strain that crosses Chocolope and Black Jack in a flavorful combination of berry and chocolate confection. Jack Herer ancestry reveals itself through this strain's energized and happy effects, which slowly taper down to mellow relaxation over time.",,,,0.00234192,,,,,,,,,,,,,,,,0.00234192,,,,,,,,,,0.00234192,,,,,,,,,,,,,,,,,,,,0.00234192,0.0016728,,0.00234192,,,,0.0019516,,,,,0.00117096,,0.00133824,0.00058548,0.0016728,0.00117096,,,0.00234192,,,,0.0016728,,,0.00117096,0.00078064,0.00117096,0.00175644
1002,Jacked-Up,2,0,0.4,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.924242424,0.485074627,,1,,0.737215909,,1,,,0.151515152,0.737215909,,,0.742537313,0.782828283,,,,,0.779829545,0.654850746,,,0.630597015,,,,0.758522727,0.848484848,1,,hybrid,0.779411765,4.117647059,17,"Originally bred by Heroes of the Farm, Jacked-Up is a 60/40 sativa-dominant hybrid cross between Jack Herer and Timewreck. It typically provides strong cerebral, uplifting effects ideal for daytime use. These resin-packed flowers boast a spicy, woody aroma with intricate undertones of berry, citrus, peaches, and apricots. As multifaceted as its flavor profile, Jacked-Up buds are a colorful display of lavender and green pastels bursting with orange hairs.",,,,,,,,,,,,,,,,,,,,0.000906618,,,0.000906618,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,0.000837935,0.000439778,,0.000906618,,0.000668373,,0.000906618,,,0.000137366,0.000668373,,,0.000673198,0.000709726,,,,,0.000707008,0.0005937,,,0.000571711,,,,0.000687691,0.000769252,0.000906618
1003,Jacky White,2,0,0.25,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035971223,,0.775058275,1,,,,1,,,0.035971223,,0.18997669,,,,0.679133858,0.021582734,0.649606299,,0.976689977,0.980314961,0.965034965,,0.36515748,,,,,0.035971223,1,0.640522876,sativa,0.854545455,4.418181818,55,"Jacky White is a 75% sativa strain bred by Paradise Seeds, who crossed the legendary Jack Herer sativa with a resinous White Widow hybrid. She introduces herself with a sweet grapefruit and citrus aroma, which leads the way into Jacky White's well-balanced head and body effects. Lofty euphoria lifts the mind into an upbeat cerebral space, while the indica in her softens the racy sativa effects with a deep, physical calm. Since her debut in 2005, growers have cherished Jacky White for her hardiness, stability, fast flowering, and plentiful yields.",20,,,0.00234192,,,,,,,,,,0.00234192,,,,,,0.00234192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42E-05,,0.001815125,0.00234192,,,,0.00234192,,,8.42E-05,,0.00044491,,,,0.001590477,5.05E-05,0.001521326,,0.00228733,0.00229582,0.002260035,,0.00085517,,,,,8.42E-05,0.00234192
1004,Jah Goo,2,0,0.67,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,0.414634146,,0.637931034,,0.594594595,0.528455285,,,0.544715447,1,,,0.120689655,,,,,0.120689655,,,,,0.594594595,1,,,0.772357724,,0.689189189,,0.594594595,0.637931034,1,,indica,0.875,4.5,14,"Jah Goo is a pungent cannabis strain with strange origins. The colorful cross of Purple Jasmine and Goo, Jah Goo is a resinous strain that was transported to North America by Canadian Vietnam veterans returning from Southeast Asia. Jah Goo expresses alluring qualities from both its parents, including bright pink hairs, multifaceted foliage, and an abundance of trichomes. Its calming and relaxing effects are perfect for dealing with stress and subduing pain.",,,,,,,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,0.001666667,,,,,,,0.001666667,,,,,,,,0.000691057,,0.001063218,,0.000990991,0.000880759,,,0.000907859,0.001666667,,,0.000201149,,,,,0.000201149,,,,,0.000990991,0.001666667,,,0.001287263,,0.001148649,,0.000990991,0.001063218,0.001666667
1005,Jah Kush,0,0,0.52,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,0.017241379,,,0.605381166,0.533632287,,,1,,,,,0.075630252,,0.591928251,0.017241379,,0.025862069,,,0.151260504,0.556053812,0.12605042,,1,,,0.084033613,,0.094827586,1,,hybrid,0.895061728,4.580246914,81,"Jah Kush is a true catch for any cultured cannabis consumer. Its well-rounded excellence is achieved by a distinct, exceptional aroma and long-lasting, mellow effects that are dynamic but not overwhelming. This hybrid is optimal for tension relief and mood lift, offering a rich and slow experience with a citrus aftertaste. With disputed genetics and supposed origins in Northern California, Jah Kush is a self-made success story.",,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,0.000906618,,,,,,,,,,,,,,,,,,,,1.56E-05,,,0.00054885,0.000483801,,,0.000906618,,,,,6.86E-05,,0.000536653,1.56E-05,,2.34E-05,,,0.000137136,0.000504129,0.00011428,,0.000906618,,,7.62E-05,,8.60E-05,0.000906618
1006,Jamaican,3,0,0.2,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.6353537,,0.387966805,,0.182894347,0.932854109,,,,0.19266055,,,0.117479253,,,,1,0.336618257,,,,,1,0.572782225,,,0.763273975,0.21929565,,0.153595738,,1,0.697614108,0.411764706,sativa,0.838983051,4.355932203,60,"Jamaican refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of Jamaica's latitude and climate, these varieties tend to be sativa in structure and effect.",13,,,0.00234192,,,,,,,,,0.00234192,,,,,,,,,,,,,0.00234192,,,,,,,,,,,,,,,,,,,,,,0.001487948,,0.000908587,,0.000428324,0.00218467,,,,0.000451196,,,0.000275127,,,,0.00234192,0.000788333,,,,,0.00234192,0.00134141,,,0.001787527,0.000513573,,0.000359709,,0.00234192,0.001633757
1007,Jamaican Dream,2,0,0.1,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.172093023,1,,,,,,0.629545455,,,1,,1,,0.746287129,0.023255814,0.590346535,,,,0.702272727,0.65470297,0.526515152,,0.993811881,,,,0.576515152,0.023255814,0.218604651,0.591503268,sativa,0.86746988,4.469879518,85,"Jamaican Dream is a 90% sativa bred by Eva Seeds using Jamaican genetics. A subtle and sweet flavor carries you through to an elevated mood and weightless euphoria. The effects are light enough to start your day with, making this strain ideal for early treatment of depression and fatigue. Jamaican Dream's pointed, compact buds will finish their flowering cycle after 42 to 45 days indoors, or at the end of September in outdoor gardens.",18.5,,,0.00234192,,,,,,,,,,0.00234192,,,,,,,,,,,,0.00234192,,,,,,,,,,,,,,,,,,,,,,,,0.000403028,0.00234192,,,,,,0.001474345,,,0.00234192,,0.00234192,,0.001747745,5.45E-05,0.001382545,,,,0.001644667,0.001533262,0.001233057,,0.002327428,,,,0.001350153,5.45E-05,0.000511955
1008,Jamaican Lion,2,0,0.5,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947368421,0.957142857,0.014285714,,,0.947368421,0.934210526,,,1,,,,,0.957142857,,1,0.028571429,,0.014285714,,,0.971428571,0.986842105,,,,,,0.942857143,,0.014285714,1,0.281045752,hybrid,0.916666667,4.666666667,27,"Jamaican Lion is a high-CBD sativa strain with mildly psychoactive effects that stimulate creativity and focus without the loss of functionality. Its rich genetic background combines Mountain Lion -- a Rock Bud and Lionheart cross -- with a Jamaican sativa known as Yarders. Shadrock, Jamaican Lion's creator, first brought the strain to California in 2007, where it was distributed to patients by Harborside. Ushered in by a sweet herbal aroma, Jamaican Lion induces mild psychoactivity that carries through despite its low THC content. Sensory perception sharpens as bad moods dull in clear-headed sensations that can be described as simultaneously uplifting and calming. Few strains compare to Jamaican Lion as it eases pain, anxiety, and inflammation without intoxication or mental cloudiness. Its CBD content is highest around week 9 of flowering, but if you're looking for more of a 1:1 ratio of CBD and THC, Shadrock recommends harvesting at week 8 instead.",9,0.000906618,,0.000906618,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000858902,0.000867763,1.30E-05,,,0.000858902,0.000846972,,,0.000906618,,,,,0.000867763,,0.000906618,2.59E-05,,1.30E-05,,,0.000880715,0.000894689,,,,,,0.000854812,,1.30E-05,0.000906618
1009,Jamaican Pearl,2,0,0.4,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127659574,1,,0.656069364,0.612716763,,,0.485549133,,,0.744680851,0.138728324,0.895953757,,0.638728324,0.760638298,,,,,0.190751445,,1,,0.699421965,,,,,0.239361702,1,0.54248366,hybrid,0.817708333,4.270833333,48,"Jamaican Pearl is a sweetly potent outdoor sativa strain from Dutch breeder Sensi Seeds whose presence will bring a taste of the Caribbean to cannabis consumers. Jamaica is home to sativas of astounding quality and potency, selectively bred for countless generations. This strain, a genetic cross between Marley's Collie and Early Pearl, provides a nice breezy cerebral sensation with tropical flavors.",17,,,0.000906618,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000115739,0.000906618,,0.000594805,0.0005555,,,0.000440208,,,0.000675141,0.000125774,0.000812288,,0.000579083,0.000689609,,,,,0.000172939,,0.000906618,,0.000634109,,,,,0.00021701,0.000906618
1010,Jane Doe,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.2,,,1,,,0.6,0.666666667,0.8,,,0.333333333,,,,,,,,,0.666666667,1,1,,1,,,,0.333333333,0.6,1,0.77124183,hybrid,0.840909091,4.363636364,11,"Jane Doe is perfectly named because this strain is a bit of a mystery girl, though her genetics most likely include some OG. This strain is well-balanced with effects that provide euphoria and relief without sleepiness. This Jane is anything but plain, with a crisp lemon aroma and big, trichome-covered flowers that make her a beauty.",24,0.000906618,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,0.000181324,,,0.000906618,,,0.000543971,0.000604412,0.000725295,,,0.000302206,,,,,,,,,0.000604412,0.000906618,0.000906618,,0.000906618,,,,0.000302206,0.000543971,0.000906618
